Image,Box_Corners_Camera_Coordinates
1,"[[1.011509904452353, -1.0113201016429814, 54.68624361582979], [1.9473883716903235, -0.901849692788617, 54.351358972787494], [1.9897089775566115, -1.8804012230083733, 54.14975076605055], [1.0538305103186407, -1.9898716318627376, 54.48463540909285]]"
2,"[[2.800234384623665, 0.31242095787064816, 76.33048615906804], [3.770308111888978, 0.3344659671247092, 76.57229389516549], [3.802365257132591, -0.6643144903980186, 76.5347447658877], [2.832291529867278, -0.6863594996520797, 76.29293702979025]]"
3,"[[2.982461073354503, 2.109232053180185, 78.62638194454422], [3.963245554205317, 2.1066912280512113, 78.43130414896035], [4.011144096050836, 1.1405166297167708, 78.68470575752343], [3.0303596152000223, 1.1430574548457444, 78.8797835531073]]"
4,"[[3.7190805002005876, 4.2469124459386896, 90.99800883610568], [4.698213073474474, 4.255933351647468, 91.20103106940601], [4.735367043455013, 3.2658106981521082, 91.06583967341501], [3.7562344701811274, 3.2567897924433296, 90.8628174401147]]"
5,"[[3.7962270082874197, 5.879959443069289, 82.36395854835625], [4.7069604065534465, 5.9371599258311045, 81.9549441451201], [4.631651535220774, 4.98640320291667, 81.65429446903245], [3.720918136954747, 4.929202720154855, 82.0633088722686]]"
6,"[[4.588257381779796, 8.604100746953039, 91.44371595511973], [5.587918548956713, 8.603117708758875, 91.41770471765606], [5.607220108645295, 7.960657486371803, 92.18378063585473], [4.607558941468378, 7.961640524565966, 92.2097918733184]]"
7,"[[4.849223552918991, 10.739214175744596, 91.20736124031293], [5.845435808187827, 10.735223555847876, 91.12049802942927], [5.906234176017348, 10.053012282542209, 91.84912093398549], [4.910021920748511, 10.05700290243893, 91.93598414486914]]"
8,"[[5.257983096992008, 12.306320009586079, 91.92206661817907], [6.237865097926888, 12.479377802398542, 92.0214761981537], [6.257889846192302, 11.898539130821822, 92.83524855394978], [5.278007845257421, 11.72548133800936, 92.73583897397515]]"
9,"[[5.817148125302693, 13.474541864648648, 116.92602940199374], [6.816510579403817, 13.510223946058924, 116.92724365040698], [6.832664951867994, 13.027975840557605, 117.80312937411223], [5.833302497766868, 12.99229375914733, 117.801915125699]]"
10,"[[4.645549065686227, 11.008474718280722, 109.48544887333455], [5.637372700333454, 11.07728979529257, 109.59292148813022], [5.593183152354126, 10.47242801702974, 110.38802494872267], [4.6013595177069, 10.403612940017894, 110.280552333927]]"
11,"[[3.91952399258006, 10.239350475117725, 117.19739115831194], [4.917636043312245, 10.298732451108348, 117.18170310200658], [4.971764988168832, 9.568975937767402, 117.8632641693844], [3.9736529374366474, 9.509593961776778, 117.87895222568976]]"
12,"[[3.2304821767499403, 9.095731193971762, 112.03421154272455], [4.192224437625397, 9.28492869933371, 112.23234313437763], [4.238285821676199, 8.460326571223712, 112.79617793218262], [3.276543560800743, 8.271129065861764, 112.59804634052954]]"
13,"[[0.1155854876422089, 0.3503971905770027, 2.9824603748261302], [0.4312483603311894, 1.2200796766420339, 3.3619459796090894], [0.31812665493833603, 0.8574900385296472, 4.2870039421728094], [0.00246378224935552, -0.012192447535383955, 3.9075183373898508]]"
